NO0B;Jan Mayen and Svalbard;0
FI2;Åland;30344
FI20;Åland;30344
LI;Liechtenstein;39308
LI0;Liechtenstein;39308
LI00;Liechtenstein;39308
ES63;Ciudad de Ceuta;82513
ES64;Ciudad de Melilla;83236
ITC2;Valle d'Aosta/Vallée d'Aoste;123360
EL41;Voreio Aigaio;195229
EL62;Ionia Nisia;204081
PT2;Região Autónoma dos Açores (PT);236488
PT20;Região Autónoma dos Açores (PT);236488
PT3;Região Autónoma da Madeira (PT);251182
PT30;Região Autónoma da Madeira (PT);251182
EL53;Dytiki Makedonia;253954
ITF2;Molise;292150
BE34;Prov. Luxembourg (BE);294400
FRY3;Guyane;296058
AT11;Burgenland (AT);297583
FRY5;Mayotte;299022
ES23;La Rioja;315916
EL54;Ipeiros;319206
EL42;Notio Aigaio;327517
FRM;Corse;348830
FRM0;Corse;348830
CH07;Ticino;352181
FRY2;Martinique;352205
NO02;Innlandet;371253
SE32;Mellersta Norrland;376247
IS;Iceland;376248
IS0;Ísland;376248
IS00;Ísland;376248
NL34;Zeeland;386767
AT34;Vorarlberg;401674
FRY1;Guadeloupe;407810
BE31;Prov. Brabant wallon;410619
NL23;Flevoland;434771
PT15;Algarve;465701
NO06;Trøndelag;474131
NO07;Nord-Norge;481926
NL13;Drenthe;497743
BE35;Prov. Namur;503408
EL64;Sterea Ellada;507072
MT;Malta;520971
MT0;Malta;520971
MT00;Malta;520971
SE33;Övre Norrland;524256
ITH1;Provincia Autonoma di Bolzano/Bozen;532616
DEB2;Trier;536772
EL65;Peloponnisos;538063
ITH2;Provincia Autonoma di Trento;540958
ITF5;Basilicata;541168
EL51;Anatoliki Makedonia, Thraki;560826
AT32;Salzburg;562606
AT21;Kärnten;564513
ES13;Cantabria;584368
NL11;Groningen;590170
DK05;Nordjylland;591740
ME;Montenegro;617683
ME0;Crna Gora;617683
ME00;Crna Gora;617683
EL43;Kriti;623633
LU;Luxembourg;645397
LU0;Luxembourg;645397
LU00;Luxembourg;645397
EL63;Dytiki Ellada;646621
NL12;Friesland (NL);654019
ES22;Comunidad Foral de Navarra;659155
DE5;Bremen;676463
DE50;Bremen;676463
EL61;Thessalia;686344
BG31;Severozapaden;702773
PT18;Alentejo;705410
FRI2;Limousin;722658
SK01;Bratislavský kraj;723714
NO09;Agder og Sør-Østlandet;735966
BG32;Severen tsentralen;750795
AT33;Tirol;764102
HR05;Grad Zagreb;766824
HR06;Sjeverna Hrvatska;785699
LT01;Sostines regionas;817950
CH06;Zentralschweiz;833178
DK02;Sjælland;843513
ITI2;Umbria;858812
SE31;Norra Mellansverige;859350
HU23;Dél-Dunántúl;864299
FRY4;La Réunion;869993
SE21;Småland med öarna;878580
BE22;Prov. Limburg (BE);888913
IE04;Northern and Western;894601
CY;Cyprus;904705
CY0;Kypros;904705
CY00;Kypros;904705
BG33;Severoiztochen;913468
PL52;Opolskie;928070
DEC;Saarland;982348
DEC0;Saarland;982348
PL43;Lubuskie;989261
HU22;Nyugat-Dunántúl;997119
SI04;Zahodna Slovenija;1003393
ES12;Principado de Asturias;1006234
BG34;Yugoiztochen;1010263
HR02;Panonska Hrvatska;1013572
DE72;Gießen;1050765
ES43;Extremadura;1053317
HU21;Közép-Dunántúl;1056295
DED5;Leipzig;1057609
DE24;Oberfranken;1061929
CZ04;Severozápad;1082108
HU31;Észak-Magyarország;1102064
SI03;Vzhodna Slovenija;1103787
BE33;Prov. Liège;1116087
DE23;Oberpfalz;1116741
NL42;Limburg (NL);1118302
PL84;Podlaskie;1135785
FI1C;Etelä-Suomi;1146312
EL4;Nisia Aigaiou, Kriti;1146379
NL21;Overijssel;1171910
BE24;Prov. Vlaams-Brabant;1173956
FRC2;Franche-Comté;1176298
CZ08;Moravskoslezsko;1177989
CH03;Nordwestschweiz;1191939
ITH4;Friuli-Venezia Giulia;1194647
CZ07;Strední Morava;1195362
PL72;Swietokrzyskie;1197253
CH05;Ostschweiz;1203715
BE25;Prov. West-Vlaanderen;1210822
HU33;Dél-Alföld;1213595
CZ03;Jihozápad;1215754
DE73;Kassel;1217688
ES53;Illes Balears;1223980
DK03;Syddanmark;1228362
BE1;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;1228655
BE10;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;1228655
AT22;Steiermark;1252922
DE22;Niederbayern;1253441
FI1D;Pohjois- ja Itä-Suomi;1274599
CZ01;Praha;1275406
ITF1;Abruzzo;1275950
HR03;Jadranska Hrvatska;1296210
SK03;Stredné Slovensko;1310511
FRF2;Champagne-Ardenne;1312778
ES24;Aragón;1314159
DE26;Unterfranken;1320513
HU12;Pest;1325036
EE;Estonia;1331796
EE0;Eesti;1331796
EE00;Eesti;1331796
DK04;Midtjylland;1341857
BE32;Prov. Hainaut;1354667
NL31;Utrecht;1369873
FRK1;Auvergne;1371196
PL62;Warminsko-Mazurskie;1380968
FI19;Länsi-Suomi;1382245
CZ02;Strední Cechy;1386824
BG42;Yuzhen tsentralen;1390878
NO0A;Vestlandet;1392937
DED4;Chemnitz;1402126
HU32;Észak-Alföld;1423751
RS22;Region Juzne i Istocne Srbije;1440363
FRD1;Basse-Normandie;1468032
ITI3;Marche;1487150
CZ05;Severovýchod;1494671
DEB1;Koblenz;1503189
AT31;Oberösterreich;1505140
ITC3;Liguria;1509227
ES62;Región de Murcia;1522516
BE23;Prov. Oost-Vlaanderen;1545469
SE22;Sydsverige;1561362
CH04;Zürich;1564662
DED2;Dresden;1583267
ITG2;Sardegna;1587413
SK04;Východné Slovensko;1587945
DE91;Braunschweig;1591424
DE8;Mecklenburg-Vorpommern;1611160
DE80;Mecklenburg-Vorpommern;1611160
FRC1;Bourgogne;1614708
PL42;Zachodniopomorskie;1652230
RO42;Vest;1669479
IE05;Southern;1670658
RS11;Beogradski region;1684567
CH01;Région lémanique;1685625
CZ06;Jihovýchod;1688593
AT12;Niederösterreich;1698796
HU11;Budapest;1706851
FI1B;Helsinki-Uusimaa;1714741
DE93;Lüneburg;1731531
NL1;Noord-Nederland;1741932
SE12;Östra Mellansverige;1752290
SE3;Norra Sverige;1759853
DE25;Mittelfranken;1777143
EL52;Kentriki Makedonia;1790686
SK02;Západné Slovensko;1812542
AT2;Südösterreich;1817435
RS12;Region Vojvodine;1817534
FRI3;Poitou-Charentes;1829115
MK;North Macedonia;1837114
MK0;Severna Makedonija;1837114
MK00;Severna Makedonija;1837114
FRD2;Haute-Normandie;1851711
DE6;Hamburg;1853935
DE60;Hamburg;1853935
RS21;Region Sumadije i Zapadne Srbije;1854641
ITF6;Calabria;1855454
DK01;Hovedstaden;1867948
RO41;Sud-Vest Oltenia;1869563
LV;Latvia;1875757
LV0;Latvija;1875757
LV00;Latvija;1875757
DE14;Tübingen;1876055
BE21;Prov. Antwerpen;1890627
CH02;Espace Mittelland;1907491
DE27;Schwaben;1917979
FRE2;Picardie;1921730
FRF1;Alsace;1930273
AT13;Wien;1931593
NO08;Oslo og Viken;1969057
LT02;Vidurio ir vakaru Lietuvos regionas;1988048
PL61;Kujawsko-Pomorskie;2027014
ES42;Castilla-la Mancha;2049980
PL81;Lubelskie;2055257
DEA4;Detmold;2057480
DEB3;Rheinhessen-Pfalz;2066524
PL82;Podkarpackie;2067289
BG41;Yugozapaden;2070760
SE23;Västsverige;2085102
SI;Slovenia;2107180
SI0;Slovenija;2107180
DEG;Thüringen;2108863
DEG0;Thüringen;2108863
NL22;Gelderland;2110472
DE92;Hannover;2149859
DEE;Sachsen-Anhalt;2169253
DEE0;Sachsen-Anhalt;2169253
ES21;País Vasco;2176918
FRY;RUP FR - Régions ultrapériphériques françaises;2225088
PT16;Centro (PT);2235752
ES7;Canarias;2252237
ES70;Canarias;2252237
RO32;Bucuresti - Ilfov;2268268
RO12;Centru;2273344
DE13;Freiburg;2285156
PL92;Mazowiecki regionalny;2289267
FRF3;Lorraine;2318431
PL63;Pomorskie;2318625
RO22;Sud-Est;2361624
ES41;Castilla y León;2376687
PL71;Lódzkie;2404078
SE11;Stockholm;2415139
IE06;Eastern and Midland;2494745
RO11;Nord-Vest;2523549
DE4;Brandenburg;2537868
DE40;Brandenburg;2537868
DE94;Weser-Ems;2554217
FRB;Centre - Val de Loire;2572636
FRB0;Centre - Val de Loire;2572636
EL6;Kentriki Ellada;2582181
NL41;Noord-Brabant;2592874
DEA3;Münster;2631237
ES11;Galicia;2691456
FRC;Bourgogne - Franche-Comté;2791006
LT;Lithuania;2805998
LT0;Lietuva;2805998
DE12;Karlsruhe;2812482
PL51;Dolnoslaskie;2845944
RO31;Sud - Muntenia;2854809
PT17;Área Metropolitana de Lisboa;2869627
NL32;Noord-Holland;2909827
FRJ1;Languedoc-Roussillon;2917252
HU2;Dunántúl;2917713
DEF;Schleswig-Holstein;2922005
DEF0;Schleswig-Holstein;2922005
EL5;Voreia Ellada;2924672
HU1;Közép-Magyarország;3031887
PL91;Warszawski stoleczny;3108755
FRJ2;Midi-Pyrénées;3143079
RO21;Nord-Est;3221819
AT3;Westösterreich;3233522
RS2;Srbija - jug;3295004
FRD;Normandie;3319743
PL21;Malopolskie;3368893
BG3;Severna i yugoiztochna Bulgaria;3377299
FRH;Bretagne;3412207
FRH0;Bretagne;3412207
BG4;Yugozapadna i yuzhna tsentralna Bulgaria;3461638
PL41;Wielkopolskie;3471812
RS1;Srbija - sever;3502101
FRI1;Aquitaine;3534811
RO4;Macroregiunea patru;3539042
DEA5;Arnsberg;3565239
PT11;Norte;3587882
PL7;Makroregion Centralny;3601331
ITI1;Toscana;3663191
DE3;Berlin;3677472
DE30;Berlin;3677472
BE3;Région wallonne;3679181
NL4;Zuid-Nederland;3711176
NL2;Oost-Nederland;3717153
HU3;Alföld és Észak;3739410
NL33;Zuid-Holland;3753944
PL5;Makroregion Poludniowo-Zachodni;3774014
EL3;Attiki;3806550
EL30;Attiki;3806550
HR;Croatia;3862305
HR0;Hrvatska;3862305
FRG;Pays-de-la-Loire;3882895
FRG0;Pays-de-la-Loire;3882895
ITF4;Puglia;3922941
AT1;Ostösterreich;3927972
DE71;Darmstadt;4026564
DED;Sachsen;4043002
FRE1;Nord-Pas-de-Calais;4063753
DEB;Rheinland-Pfalz;4106485
DE11;Stuttgart;4150949
SE1;Östra Sverige;4167429
ITC1;Piemonte;4256350
ES1;Noroeste (ES);4282058
PL22;Slaskie;4413746
ITH5;Emilia-Romagna;4425366
ES2;Noreste (ES);4466148
DEA2;Köln;4472956
SE2;Södra Sverige;4525044
DE21;Oberbayern;4729243
RO1;Macroregiunea unu;4796893
ITG1;Sicilia;4833329
ITH3;Veneto;4847745
IE;Ireland;5060004
IE0;Éire/Ireland;5060004
ES52;Comunitat Valenciana;5072550
RO3;Macroregiunea trei;5123077
FRL;Provence-Alpes-Côte d'Azur;5139817
FRL0;Provence-Alpes-Côte d'Azur;5139817
DEA1;Düsseldorf;5197679
PL8;Makroregion Wschodni;5258331
PL9;Makroregion Województwo Mazowieckie;5398022
NO;Norway;5425270
NO0;Norge;5425270
SK;Slovakia;5434712
SK0;Slovensko;5434712
ES4;Centro (ES);5479984
FI1;Manner-Suomi;5517897
FI;Finland;5548241
FRF;Grand Est;5561482
RO2;Macroregiunea doi;5583443
ITF3;Campania;5624420
ITI4;Lazio;5714882
PL6;Makroregion Pólnocny;5726607
DK;Denmark;5873420
DK0;Danmark;5873420
FRE;Hauts-de-France;5985483
FRJ;Occitanie;6060331
FRI;Nouvelle-Aquitaine;6086584
PL4;Makroregion Pólnocno-Zachodni;6113303
DE7;Hessen;6295017
ITG;Isole;6420742
BE2;Vlaams Gewest;6709787
ES3;Comunidad de Madrid;6769373
ES30;Comunidad de Madrid;6769373
FRK2;Rhône-Alpes;6785195
RS;Serbia;6797105
BG;Bulgaria;6838937
ES51;Cataluña;7679192
PL2;Makroregion Poludniowy;7782639
DE9;Niedersachsen;8027031
FRK;Auvergne - Rhône-Alpes;8156391
NL3;West-Nederland;8420411
ES61;Andalucía;8519106
CH;Switzerland;8738791
CH0;Schweiz/Suisse/Svizzera;8738791
AT;Austria;8978929
HU;Hungary;9689010
PT1;Continente;9864372
ITC4;Lombardia;9943004
ES6;Sur (ES);10207371
PT;Portugal;10352042
SE;Sweden;10452326
EL;Greece;10459782
CZ;Czechia;10516707
CZ0;Cesko;10516707
DE1;Baden-Württemberg;11124642
ITH;Nord-Est;11541332
BE;Belgium;11617623
ITI;Centro (IT);11724035
FR1;Île de France;12329432
FR10;Île de France;12329432
DE2;Bayern;13176989
ITF;Sud;13512083
ES5;Este (ES);13975722
ITC;Nord-Ovest;15831941
NL;Netherlands;17590672
DEA;Nordrhein-Westfalen;17924591
RO;Romania;19042455
PL;Poland;37654247
ES;Spain;47432893
IT;Italy;59030133
FR;France;67871925
DE;Germany (until 1990 former territory of the FRG);83237124
EU27_2020;European Union - 27 countries (from 2020);446735291
